Taxa	CGH1	CGH2	CGH3	CGH4	CGH5	CGH6	SLMC1	SLMC2	SLMC3	SLMC4	SLMC5	SLMC6	UST1	UST2	UST3	UST4	UST5	UST6
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae;Unclassified Intrasporangiaceae	24	13	14	74	37	23	84	10	24	47	36	11	301	43	40	101	72	173
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Jonesiaceae;Jonesia	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	2
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Jonesiaceae;Unclassified Jonesiaceae	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Agrococcus	0	1	0	2	0	3	12	2	4	3	0	1	2	2	0	3	0	9
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Agromyces	16	12	7	25	60	108	3	3268	193	28	7	16	10	14	0	1	9	21
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Alpinimonas	0	1	0	0	0	0	1	1	3	2	2	0	0	17	28	60	7	7
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Clavibacter	27	42	18	14	20	7	1	4	9	13	11	2	5	3	1	3	1	15
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Cryobacterium	1	1	0	0	2	0	14	0	5	0	2	0	0	0	0	0	0	2
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Cryocola	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Curtobacterium	61	69	0	7	53	14	6	4	12	14	17	5	8	6	3	1	5	10
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Frigoribacterium	0	1	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Frondihabitans	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Gulosibacter	0	6	2	0	1	0	1	0	1	0	1	0	0	0	2	0	0	5
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Herbiconiux	2	4	0	3	2	0	0	0	5	6	2	0	1	0	0	2	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Humibacter	0	0	0	0	0	5	0	0	2	5	0	28	8	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Klugiella	0	0	0	0	0	0	0	0	0	0	1	1	2	2	0	0	0	2
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Leifsonia	6	16	9	1	7	37	2	122	0	5	12	45	76	1	12	4	19	8
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Leucobacter	802	1190	36	76	509	126	49	1978	344	539	495	72	155	72	54	48	31	274
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;MWH-Ta3	0	0	14	0	2	0	0	0	9	1	5	0	0	0	0	0	0	0
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Marisediminicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Microbacteriaceae	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
