GENE	SLMC2	CGH1	CGH2	UST4	UST1	SLMC5	SLMC6	CGH6	CGH5	UST5	UST2	SLMC4	UST3	CGH3	UST6	SLMC1	SLMC3	CGH4
aac(3)-IIIa_1_X55652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(3)-IIIb_1_L06160	0	2	2	0	0	1	0	0	1	2	0	1	0	3	0	0	0	2
aac(3)-IIIc_1_L06161	0	0	1	0	0	0	0	0	0	4	2	0	3	2	2	0	0	1
aac(3)-IVa_1_X01385	0	3	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(3)-VIa_1_M88012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(3)-VIIa_1_M22999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(3)-VIIIa_1_M55426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(3)-IXa_1_M55427	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
aac(3)-Xa_1_AB028210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(6')-Ia_1_M18967	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(6')-Ib_1_M21682	7	104	131	7	3	15	5	38	98	5	4	12	4	67	7	5	24	85
aac(6')-Ic_1_M94066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(6')-If_1_X55353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(6')-Ig_1_L09246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(6')-Ih_1_L29044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(6')-Ij_1_L29045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(6')-Ik_1_L29510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(6')-Im_1_AF337947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(6')-Im_2_Z54241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(6')-Iq_1_AF047556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(6')-Ir_1_AF031326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aac(6')-Is_1_AF031327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
