clade_name	SLMC2	CGH1	CGH2	UST4	UST1	SLMC5	SLMC6	CGH6	CGH5	UST5	UST2	SLMC4	UST3	CGH3	UST6	SLMC1	SLMC3	CGH4
k__Bacteria|p__Bacteroidota|c__CFGB343|o__OFGB343	0.04415	0.02987	0.0	0.0	0.0	0.19287	0.0	0.03208	0.07846	0.0	0.0	0.04141	0.0	0.17451	0.0	0.01727	0.02422	0.07776
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	0.04021	0.04727	0.0173	0.02909	0.01103	0.08177	0.0	0.00607	0.01165	0.0	0.03516	0.06663	0.00442	0.0	0.0395	0.0	0.02016	0.14848
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	0.03513	0.03112	0.01817	0.01235	0.0	0.17919	0.0	0.01714	0.05822	0.0	0.01821	0.1119	0.0179	0.02672	0.01138	0.0	0.03458	0.11149
k__Bacteria|p__Proteobacteria|c__CFGB2404|o__OFGB2404	0.02635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10499	0.04262	0.06128	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	0.02301	0.02931	0.00476	0.01781	0.0	0.0522	0.0	0.00986	0.02912	0.09482	0.00818	0.01582	0.04305	3.40319	0.04418	0.0	0.02811	0.04916
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	0.01857	0.06151	0.00313	0.39501	0.02799	0.22282	0.0	0.01855	0.09963	0.00538	0.12814	0.10955	0.11065	0.00361	0.22299	0.0	0.08658	0.47441
k__Bacteria|p__Proteobacteria|c__CFGB2403|o__OFGB2403	0.01266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01288	0.0	0.0	0.0	0.0	0.00685	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	0.01151	0.04159	0.0202	0.37082	0.0	0.12993	0.0	0.03234	0.02412	0.0	0.02342	0.05175	0.0	0.02288	0.0	0.0	0.07128	0.04353
k__Bacteria|p__Proteobacteria|c__Acidithiobacillia|o__Acidithiobacillales	0.01056	0.0	0.00202	0.0	0.0	0.0	0.0	0.0	0.00666	0.0	0.0	0.00397	0.0	0.0	0.0	0.0	0.0	0.00209
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	0.01012	0.00068	0.03437	0.0	0.0	0.19412	0.0	0.0	0.00466	0.0	0.0	0.01661	0.0	0.01641	0.0	0.0	0.0	0.05108
k__Bacteria|p__Bacteroidota|c__CFGB658|o__OFGB658	0.00847	0.01504	0.00344	0.0	0.0	0.01762	0.0	0.02166	0.12199	0.03236	0.0	0.0611	0.0	0.0068	0.0	0.0	0.01197	0.12773
k__Bacteria|p__Bacteroidota|c__Sphingobacteriia|o__Sphingobacteriales	0.0068	1.49765	3.16829	0.047	0.11875	0.67531	0.0039	0.13909	0.89953	0.29206	0.0	1.4027	0.0709	0.6593	0.10172	0.00059	0.12875	1.5981
