clade_name	CGH1	CGH2	CGH3	CGH4	CGH5	CGH6	SLMC1	SLMC2	SLMC3	SLMC4	SLMC5	SLMC6	UST1	UST2	UST3	UST4	UST5	UST6
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	11888.0	92086.0	268047.0	140305.0	493712.0	9783.0	0.0	0.0	132013.0	46961.0	61410.0	0.0	48832.0	237193.0	147760.0	173286.0	8605701.0	4987540.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Legionellales	7389.0	11201.0	0.0	0.0	204.0	54069.0	0.0	0.0	384.0	2730.0	0.0	1018889.0	0.0	0.0	4066.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	4947.0	0.0	0.0	8528.0	6591.0	1713.0	0.0	0.0	0.0	0.0	412.0	0.0	0.0	0.0	3555.0	1872.0	0.0	545.0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	5127.0	2730.0	3422.0	22982.0	7078.0	2812.0	0.0	10800.0	10619.0	17047.0	26352.0	0.0	0.0	903.0	1940.0	1535.0	0.0	1854.0
k__Bacteria|p__Bacteroidota|c__CFGB343|o__OFGB343	3591.0	0.0	16334.0	11755.0	6963.0	3848.0	969.0	9908.0	5504.0	4604.0	20702.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	5796.0	865.0	1422132.0	12420.0	4513.0	1944.0	0.0	8490.0	10771.0	2892.0	9382.0	0.0	0.0	936.0	12665.0	5685.0	31845.0	10546.0
k__Bacteria|p__Synergistetes|c__CFGB7945|o__OFGB7945	4239.0	17398.0	6943.0	36243.0	12208.0	2561.0	0.0	1661.0	1043.0	82148.0	160879.0	6289.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales	4295.0	2622.0	241.0	8239.0	7509.0	2225.0	0.0	0.0	0.0	0.0	0.0	0.0	1340.0	1296.0	2634.0	1587.0	115.0	72608.0
k__Bacteria|p__Bacteroidota|c__CFGB658|o__OFGB658	3949.0	830.0	1389.0	40641.0	23640.0	5673.0	0.0	4149.0	5938.0	14834.0	4003.0	0.0	0.0	0.0	0.0	0.0	6524.0	0.0
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	1325.0	0.0	0.0	13412.0	2121.0	24.0	0.0	0.0	0.0	259.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	1905.0
k__Bacteria|p__Bacteroidota|c__CFGB1670|o__OFGB1670	1670.0	2230.0	3259.0	13330.0	6316.0	0.0	0.0	526.0	11755.0	6782.0	14586.0	0.0	0.0	0.0	0.0	7120.0	0.0	262.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Hyphomonadales	2353.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	192.0	4030.0	0.0	22602.0	0.0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	2182.0	2933.0	11575.0	0.0	1141.0	0.0	0.0	1761.0	0.0	3012.0	1720.0	34.0	0.0	37803.0	19729.0	0.0	28097.0	8078.0
k__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Puniceicoccales	1257.0	148.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Verrucomicrobia|c__Terrimicrobia|o__Terrimicrobiales	1723.0	470.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	993.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2107|o__OFGB2107	792.0	0.0	305.0	0.0	71.0	0.0	0.0	0.0	0.0	0.0	1645.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB1776|o__OFGB1776	435.0	0.0	1513.0	3071.0	908.0	611.0	0.0	0.0	0.0	4795.0	1319.0	0.0	0.0	0.0	2587.0	0.0	945.0	0.0
k__Bacteria|p__Proteobacteria|c__CFGB8705|o__OFGB8705	804.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22275.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1518.0
k__Bacteria|p__Candidatus_Omnitrophica|c__CFGB8440|o__OFGB8440	512.0	0.0	965.0	99.0	0.0	644.0	139.0	0.0	5485.0	6271.0	2115.0	1310.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales	441.0	0.0	0.0	480563.0	1219555.0	68108.0	47940.0	0.0	1915.0	356876.0	395611.0	5176.0	11056.0	0.0	0.0	0.0	255299.0	100587.0
k__Bacteria|p__Proteobacteria|c__CFGB14846|o__OFGB14846	340.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3758.0	1861.0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	164.0	7535.0	3033.0	15796.0	828.0	0.0	0.0	5299.0	0.0	4364.0	43550.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Chloroflexi|c__Anaerolineae|o__Anaerolineales	158.0	583.0	302.0	7453.0	141.0	0.0	0.0	0.0	0.0	6318.0	1576.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales	138.0	178.0	0.0	16198.0	1758.0	0.0	0.0	0.0	1088.0	5413.0	14133.0	211.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidota|c__CFGB7713|o__OFGB7713	124.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Opitutales	86.0	0.0	1920.0	1569.0	750.0	0.0	0.0	0.0	17938.0	1547.0	8423.0	0.0	0.0	0.0	42.0	0.0	0.0	0.0
k__Bacteria|p__Planctomycetota|c__Planctomycetia|o__Isosphaerales	63.0	0.0	9613.0	0.0	429.0	554.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Corynebacteriales|f__Mycobacteriaceae	7269781.0	270728.0	3456909.0	956696.0	1854506.0	15302141.0	10727996.0	2054076.0	2110824.0	3274387.0	3313562.0	4382899.0	3976984.0	1732077.0	3746151.0	1268861.0	736813.0	789401.0
